test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
AADACL3	AADACL3	AADACL3	chr1:12776117-12788726	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
AADACL4	AADACL4	AADACL4	chr1:12704565-12727097	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
AADAT	AADAT	AADAT	chr4:170981372-171011372	KO1_WT	KO1_Pus1	OK	10.8997	12.084	0.148818	0.678242	0.3322	0.515646	no
AAGAB	AAGAB	AAGAB	chr15:67493366-67547074	KO1_WT	KO1_Pus1	OK	53.7697	45.9282	-0.227413	-1.36634	0.0527	0.135879	no
AAK1	AAK1	AAK1	chr2:69685126-69870977	KO1_WT	KO1_Pus1	OK	2.49568	2.9069	0.220048	1.11379	0.11405	0.24202	no
AAMP	AAMP	AAMP	chr2:219128851-219134893	KO1_WT	KO1_Pus1	OK	120.74	118.442	-0.0277301	-0.20271	0.76565	0.865244	no
AANAT	AANAT	AANAT	chr17:74449432-74466199	KO1_WT	KO1_Pus1	NOTEST	0.379488	0.284363	-0.416322	0	1	1	no
AARS	AARS	AARS	chr16:70286296-70323412	KO1_WT	KO1_Pus1	OK	91.4931	60.1676	-0.604676	-4.45333	5e-05	0.000427361	yes
AARS2	AARS2	AARS2	chr6:44266462-44281063	KO1_WT	KO1_Pus1	OK	22.0487	18.1462	-0.281026	-1.46041	0.0366	0.102617	no
AARSD1	AARSD1	AARSD1	chr17:41102542-41132545	KO1_WT	KO1_Pus1	OK	15.9237	23.0169	0.531519	2.52851	0.0004	0.00266009	yes
AASDH	AASDH	AASDH	chr4:57204456-57253638	KO1_WT	KO1_Pus1	OK	9.85624	11.2032	0.184795	0.897657	0.2002	0.364236	no
AASDHPPT	AASDHPPT	AASDHPPT	chr11:105921824-105969419	KO1_WT	KO1_Pus1	OK	68.4715	63.8116	-0.101684	-0.734621	0.29095	0.470807	no
AASS	AASS	AASS	chr7:121713597-121784344	KO1_WT	KO1_Pus1	OK	11.0711	8.57567	-0.368471	-1.85905	0.00855	0.0322063	yes
AATF	AATF	AATF	chr17:35306174-35414171	KO1_WT	KO1_Pus1	OK	70.0937	57.5524	-0.28441	-1.70375	0.01725	0.0562541	no
AATK	AATK	AATK	chr17:79008946-79156964	KO1_WT	KO1_Pus1	OK	0.729742	1.1388	0.642052	1.13685	0.10345	0.224982	no
AATK-AS1	AATK-AS1	AATK-AS1	chr17:79008946-79156964	KO1_WT	KO1_Pus1	NOTEST	0	0.0221166	inf	0	1	1	no
ABAT	ABAT	ABAT	chr16:8768443-8878432	KO1_WT	KO1_Pus1	OK	1.56662	1.32449	-0.242212	-0.852618	0.2208	0.390566	no
ABCA1	ABCA1	ABCA1	chr9:107543283-107690527	KO1_WT	KO1_Pus1	NOTEST	0.148217	0.118269	-0.325634	0	1	1	no
ABCA10	ABCA10	ABCA10	chr17:67144147-67323323	KO1_WT	KO1_Pus1	NOTEST	0.0519839	0.0902792	0.796329	0	1	1	no
ABCA11P	ABCA11P	ABCA11P	chr4:419223-533320	KO1_WT	KO1_Pus1	OK	7.01953	9.55475	0.444843	0.857223	0.2079	0.374532	no
ABCA12	ABCA12	ABCA12	chr2:215796265-216003151	KO1_WT	KO1_Pus1	NOTEST	0.00787438	0.0191182	1.27971	0	1	1	no
ABCA13	ABCA13	ABCA13	chr7:48211056-48687091	KO1_WT	KO1_Pus1	NOTEST	0.00364945	0.00175744	-1.0542	0	1	1	no
ABCA17P	ABCA17P	ABCA17P	chr16:2390922-2476700	KO1_WT	KO1_Pus1	NOTEST	0.0753122	0.123162	0.709598	0	1	1	no
ABCA2	ABCA2	ABCA2	chr9:139901685-139931234	KO1_WT	KO1_Pus1	OK	4.72613	4.90638	0.0539994	0.265001	0.7034	0.824571	no
ABCA3	ABCA3	ABCA3	chr16:2325878-2390747	KO1_WT	KO1_Pus1	OK	6.99995	9.08935	0.376833	1.89229	0.0079	0.0302319	yes
ABCA4	ABCA4	ABCA4	chr1:94458393-94586705	KO1_WT	KO1_Pus1	NOTEST	0.0087177	0.00856913	-0.0247988	0	1	1	no
ABCA5	ABCA5	ABCA5	chr17:67144147-67323323	KO1_WT	KO1_Pus1	OK	3.52516	2.76482	-0.350501	-1.61619	0.01955	0.0621891	no
ABCA6	ABCA6	ABCA6	chr17:67074846-67138015	KO1_WT	KO1_Pus1	NOTEST	0.00610321	0.0239994	1.97536	0	1	1	no
ABCA7	ABCA7	ABCA7	chr19:1040101-1065570	KO1_WT	KO1_Pus1	OK	3.33408	2.90712	-0.197697	-0.896318	0.20955	0.376631	no
ABCA8	ABCA8	ABCA8	chr17:66863430-66951533	KO1_WT	KO1_Pus1	OK	0.0485071	0.582784	3.58669	4.41076	0.00055	0.00346907	yes
ABCA9	ABCA9	ABCA9	chr17:66970772-67057136	KO1_WT	KO1_Pus1	NOTEST	0.00410665	0.0351488	3.09744	0	1	1	no
ABCB1	ABCB1	ABCB1	chr7:87133178-87461613	KO1_WT	KO1_Pus1	OK	3.09071	3.204	0.0519352	0.178474	0.80375	0.889659	no
ABCB10	ABCB10	ABCB10	chr1:229652328-229694442	KO1_WT	KO1_Pus1	OK	34.8994	28.6225	-0.286052	-1.70907	0.01765	0.0572617	no
ABCB11	ABCB11	ABCB11	chr2:169779448-169887833	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
ABCB4	ABCB4	ABCB4	chr7:87031360-87105019	KO1_WT	KO1_Pus1	NOTEST	0.17436	0.139368	-0.323168	0	1	1	no
ABCB5	ABCB5	ABCB5	chr7:20655244-20796637	KO1_WT	KO1_Pus1	NOTEST	0.0194822	0.014664	-0.409874	0	1	1	no
ABCB6	ABCB6	ABCB6	chr2:220074487-220083712	KO1_WT	KO1_Pus1	OK	6.33163	5.67218	-0.158675	-0.695643	0.32825	0.511678	no
ABCB7	ABCB7	ABCB7	chrX:74273104-74376132	KO1_WT	KO1_Pus1	OK	28.5569	23.8413	-0.260373	-1.31761	0.06185	0.152964	no
ABCB8	ABCB8	ABCB8	chr7:150725509-150744869	KO1_WT	KO1_Pus1	OK	10.501	6.95302	-0.594811	-2.90691	5e-05	0.000427361	yes
ABCB9	ABCB9	ABCB9	chr12:123405497-123451056	KO1_WT	KO1_Pus1	OK	3.71589	2.27994	-0.70471	-2.46012	0.0013	0.00702298	yes
ABCC1	ABCC1	ABCC1	chr16:16043433-16236930	KO1_WT	KO1_Pus1	OK	14.5318	15.1297	0.058165	0.303819	0.6643	0.797413	no
ABCC10	ABCC10	ABCC10	chr6:43395291-43423786	KO1_WT	KO1_Pus1	OK	5.45475	5.59605	0.036894	0.166644	0.80575	0.890754	no
ABCC11	ABCC11	ABCC11	chr16:48200821-48269088	KO1_WT	KO1_Pus1	NOTEST	0.176271	0.154552	-0.189704	0	1	1	no
ABCC12	ABCC12	ABCC12	chr16:48116883-48180681	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
ABCC13	ABCC13	ABCC13	chr21:15646119-15673692	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
ABCC2	ABCC2	ABCC2	chr10:101542462-101611662	KO1_WT	KO1_Pus1	NOTEST	0.316678	0.535515	0.757911	0	1	1	no
ABCC3	ABCC3	ABCC3	chr17:48712217-48769063	KO1_WT	KO1_Pus1	NOTEST	0.00504992	0.00628051	0.314621	0	1	1	no
ABCC4	ABCC4	ABCC4	chr13:95672082-95953687	KO1_WT	KO1_Pus1	OK	13.1128	12.0509	-0.12183	-0.61714	0.37285	0.554387	no
ABCC5	ABCC5	ABCC5	chr3:183637723-183735727	KO1_WT	KO1_Pus1	OK	18.0638	17.3373	-0.0592272	-0.253088	0.71325	0.831485	no
ABCC6	ABCC6	ABCC6	chr16:16243421-16317328	KO1_WT	KO1_Pus1	OK	2.47895	2.04862	-0.275075	-0.494294	0.4754	0.651113	no
ABCC6P1	ABCC6P1	ABCC6P1	chr16:18582569-18609607	KO1_WT	KO1_Pus1	NOTEST	0.116661	0.379809	1.70296	0	1	1	no
ABCC6P2	ABCC6P2	ABCC6P2	chr16:14916288-14918559	KO1_WT	KO1_Pus1	NOTEST	0.581445	0.32151	-0.854781	0	1	1	no
ABCC8	ABCC8	ABCC8	chr11:17414431-17498449	KO1_WT	KO1_Pus1	OK	0.460153	0.653973	0.507117	1.29302	0.06645	0.161291	no
ABCC9	ABCC9	ABCC9	chr12:21950323-22089628	KO1_WT	KO1_Pus1	NOTEST	0.0582974	0.22404	1.94225	0	1	1	no
ABCD1	ABCD1	ABCD1	chrX:152990322-153010216	KO1_WT	KO1_Pus1	OK	2.45394	2.39239	-0.0366478	-0.138084	0.84435	0.913011	no
ABCD2	ABCD2	ABCD2	chr12:39945021-40013843	KO1_WT	KO1_Pus1	NOTEST	0.219894	0.237407	0.110554	0	1	1	no
ABCD3	ABCD3	ABCD3	chr1:94883932-94984219	KO1_WT	KO1_Pus1	OK	52.0287	42.5513	-0.290103	-1.83902	0.00775	0.0297786	yes
ABCD4	ABCD4	ABCD4	chr14:74751979-74769767	KO1_WT	KO1_Pus1	OK	10.6382	11.5572	0.119544	0.57777	0.41065	0.590139	no
ABCE1	ABCE1	ABCE1	chr4:145915726-146050676	KO1_WT	KO1_Pus1	OK	67.0338	70.2657	0.0679304	0.489509	0.4843	0.658863	no
ABCF1	ABCF1	ABCF1	chr6_ssto_hap7:1871447-1891586	KO1_WT	KO1_Pus1	OK	79.177	76.0883	-0.0574068	-0.42312	0.5446	0.706494	no
ABCF2	ABCF2	ABCF2	chr7:150904922-150924317	KO1_WT	KO1_Pus1	OK	98.6846	70.8639	-0.477773	-3.41678	5e-05	0.000427361	yes
ABCF3	ABCF3	ABCF3	chr3:183903862-183911795	KO1_WT	KO1_Pus1	OK	14.3059	12.2012	-0.229595	-1.10014	0.1155	0.244156	no
ABCG1	ABCG1	ABCG1	chr21:43619798-43717354	KO1_WT	KO1_Pus1	NOTEST	0.474815	0.451555	-0.0724634	0	1	1	no
ABCG2	ABCG2	ABCG2	chr4:89011415-89080011	KO1_WT	KO1_Pus1	OK	1.43092	0.672672	-1.08897	-3.22705	5e-05	0.000427361	yes
ABCG4	ABCG4	ABCG4	chr11:119019749-119033374	KO1_WT	KO1_Pus1	OK	0.730262	1.25434	0.780437	2.1364	0.00305	0.0140574	yes
ABCG5	ABCG5	ABCG5	chr2:44039610-44065958	KO1_WT	KO1_Pus1	NOTEST	0.0766061	0.133387	0.800087	0	1	1	no
ABCG8	ABCG8	ABCG8	chr2:44066102-44105605	KO1_WT	KO1_Pus1	NOTEST	0	0.0880784	inf	0	1	1	no
ABHD1	ABHD1	ABHD1	chr2:27346656-27357542	KO1_WT	KO1_Pus1	NOTEST	0.49808	0.302466	-0.719604	0	1	1	no
ABHD10	ABHD10	ABHD10	chr3:111697827-111712210	KO1_WT	KO1_Pus1	OK	38.4435	43.4166	0.175506	0.915537	0.1863	0.345657	no
ABHD11	ABHD11	ABHD11	chr7:73150424-73153190	KO1_WT	KO1_Pus1	OK	15.0248	7.64077	-0.975558	-3.96176	5e-05	0.000427361	yes
ABHD11-AS1	ABHD11-AS1	ABHD11-AS1	chr7:73149398-73150330	KO1_WT	KO1_Pus1	NOTEST	0.300104	0.121278	-1.30715	0	1	1	no
ABHD12	ABHD12	ABHD12	chr20:25228705-25371618	KO1_WT	KO1_Pus1	OK	24.2149	24.2943	0.00471762	0.0198493	0.9752	0.985718	no
ABHD12B	ABHD12B	ABHD12B	chr14:51338877-51371688	KO1_WT	KO1_Pus1	OK	0.287873	0.63385	1.13871	1.36331	0.0518	0.134029	no
ABHD13	ABHD13	ABHD13	chr13:108870762-108886603	KO1_WT	KO1_Pus1	OK	4.44883	6.77314	0.6064	2.8629	0.0001	0.000799879	yes
ABHD14A	ABHD14A	ABHD14A	chr3:52009041-52023218	KO1_WT	KO1_Pus1	OK	8.87499	13.6588	0.622019	1.69851	0.01485	0.0499435	yes
ABHD14A-ACY1	ABHD14A-ACY1	ABHD14A-ACY1	chr3:52009041-52023218	KO1_WT	KO1_Pus1	NOTEST	0.431273	0	-inf	0	1	1	no
ABHD14B	ABHD14B	ABHD14B	chr3:52002525-52008646	KO1_WT	KO1_Pus1	OK	19.1428	25.043	0.387606	1.90266	0.0056	0.0229595	yes
ABHD15	ABHD15	ABHD15	chr17:27887688-27894042	KO1_WT	KO1_Pus1	OK	6.51028	7.29597	0.16438	0.750893	0.2854	0.465269	no
ABHD16A	ABHD16A	ABHD16A	chr6_ssto_hap7:2985531-3001955	KO1_WT	KO1_Pus1	OK	10.6713	8.71223	-0.292625	-1.28313	0.065	0.15847	no
ABHD16B	ABHD16B	ABHD16B	chr20:62492565-62494341	KO1_WT	KO1_Pus1	OK	3.50104	4.06688	0.216137	0.736202	0.2927	0.472944	no
ABHD2	ABHD2	ABHD2	chr15:89631380-89745591	KO1_WT	KO1_Pus1	OK	13.4694	11.3815	-0.242999	-1.27211	0.0639	0.156627	no
ABHD3	ABHD3	ABHD3	chr18:19230857-19284766	KO1_WT	KO1_Pus1	OK	18.5179	12.156	-0.60725	-2.86232	5e-05	0.000427361	yes
ABHD4	ABHD4	ABHD4	chr14:23067146-23081265	KO1_WT	KO1_Pus1	OK	4.06035	4.03662	-0.00845712	-0.0327156	0.9673	0.981814	no
ABHD5	ABHD5	ABHD5	chr3:43732374-43764217	KO1_WT	KO1_Pus1	OK	5.98015	8.8445	0.5646	2.75588	0.0001	0.000799879	yes
ABHD6	ABHD6	ABHD6	chr3:58223258-58280461	KO1_WT	KO1_Pus1	OK	6.52193	8.25897	0.340662	1.47796	0.0355	0.100213	no
ABHD8	ABHD8	ABHD8	chr19:17402939-17414282	KO1_WT	KO1_Pus1	OK	2.39495	3.76595	0.65302	2.17668	0.0027	0.0127877	yes
ABI1	ABI1	ABI1	chr10:26986594-27150016	KO1_WT	KO1_Pus1	OK	18.2093	17.2749	-0.0759995	-0.318952	0.6473	0.785943	no
ABI2	ABI2	ABI2	chr2:204193002-204296892	KO1_WT	KO1_Pus1	OK	22.6917	22.8943	0.012822	0.0925037	0.89235	0.940012	no
ABI3	ABI3	ABI3	chr17:47283595-47300587	KO1_WT	KO1_Pus1	NOTEST	0.033164	0.0639782	0.947964	0	1	1	no
ABI3BP	ABI3BP	ABI3BP	chr3:100468178-100712334	KO1_WT	KO1_Pus1	NOTEST	0.120073	0.35113	1.54809	0	1	1	no
ABL1	ABL1	ABL1	chr9:133589267-133763062	KO1_WT	KO1_Pus1	OK	16.8183	17.7393	0.0769106	0.402842	0.56325	0.722729	no
ABL2	ABL2	ABL2	chr1:179068461-179198819	KO1_WT	KO1_Pus1	OK	12.1714	15.4982	0.348606	2.48625	0.0003	0.00207876	yes
ABLIM1	ABLIM1	ABLIM1	chr10:116190868-116444414	KO1_WT	KO1_Pus1	OK	19.1091	20.7594	0.119505	0.787298	0.2588	0.435198	no
ABLIM2	ABLIM2	ABLIM2	chr4:7967036-8160559	KO1_WT	KO1_Pus1	NOTEST	0.368456	0.201278	-0.872301	0	1	1	no
ABLIM3	ABLIM3	ABLIM3	chr5:148521053-148639999	KO1_WT	KO1_Pus1	NOTEST	0.130176	0.341748	1.39247	0	1	1	no
ABO	ABO	ABO	chr9:136130562-136150630	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
ABP1	ABP1	ABP1	chr7:150549572-150558379	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
ABR	ABR	ABR	chr17:906758-1090616	KO1_WT	KO1_Pus1	OK	16.8406	11.9104	-0.499721	-2.5513	0.0001	0.000799879	yes
ABRA	ABRA	ABRA	chr8:107771710-107782472	KO1_WT	KO1_Pus1	NOTEST	0.02448	0	-inf	0	1	1	no
ABT1	ABT1	ABT1	chr6:26597170-26600277	KO1_WT	KO1_Pus1	OK	45.5754	42.0838	-0.114989	-0.597501	0.3913	0.57172	no
ABTB1	ABTB1	ABTB1	chr3:127391780-127399769	KO1_WT	KO1_Pus1	OK	1.1346	2.2036	0.957681	2.47015	0.00105	0.00590664	yes
ABTB2	ABTB2	ABTB2	chr11:34172533-34379555	KO1_WT	KO1_Pus1	OK	3.4095	2.96177	-0.203103	-0.871202	0.21665	0.38572	no
ACAA1	ACAA1	ACAA1	chr3:38080695-38178733	KO1_WT	KO1_Pus1	OK	21.4733	23.4831	0.129078	0.626795	0.36915	0.550932	no
ACAA2	ACAA2	ACAA2	chr18:47309873-47340251	KO1_WT	KO1_Pus1	OK	27.5522	25.5118	-0.111004	-0.552362	0.4289	0.606992	no
ACACA	ACACA	ACACA	chr17:35441926-35766902	KO1_WT	KO1_Pus1	OK	22.9156	17.9984	-0.348462	-2.55962	0.00035	0.00236689	yes
ACACB	ACACB	ACACB	chr12:109577201-109706030	KO1_WT	KO1_Pus1	OK	2.58178	1.85811	-0.474532	-2.13366	0.0026	0.012403	yes
ACAD10	ACAD10	ACAD10	chr12:112123856-112194911	KO1_WT	KO1_Pus1	OK	4.36465	4.03803	-0.112214	-0.485789	0.4826	0.657702	no
ACAD11	ACAD11	ACAD11	chr3:132276981-132593050	KO1_WT	KO1_Pus1	OK	13.6171	22.9341	0.752078	2.78471	0.0001	0.000799879	yes
ACAD8	ACAD8	ACAD8	chr11:134123433-134135746	KO1_WT	KO1_Pus1	OK	13.2127	11.5212	-0.197632	-0.91861	0.1972	0.360166	no
ACAD9	ACAD9	ACAD9	chr3:128598332-128631957	KO1_WT	KO1_Pus1	OK	28.6417	23.6518	-0.276166	-1.40395	0.04415	0.118456	no
ACADL	ACADL	ACADL	chr2:211052715-211090215	KO1_WT	KO1_Pus1	OK	1.99173	2.48544	0.31948	1.03243	0.14325	0.28611	no
ACADM	ACADM	ACADM	chr1:76190042-76229355	KO1_WT	KO1_Pus1	OK	62.3354	49.0128	-0.346892	-2.0798	0.00435	0.018803	yes
ACADS	ACADS	ACADS	chr12:121163570-121177811	KO1_WT	KO1_Pus1	OK	5.5574	4.38114	-0.343104	-1.29012	0.0702	0.168078	no
ACADSB	ACADSB	ACADSB	chr10:124768428-124817806	KO1_WT	KO1_Pus1	OK	11.4709	18.8769	0.718647	3.71742	5e-05	0.000427361	yes
ACADVL	ACADVL	ACADVL	chr17:7093209-7128585	KO1_WT	KO1_Pus1	OK	33.3175	24.026	-0.471685	-2.24359	0.0014	0.00747459	yes
ACAN	ACAN	ACAN	chr15:89346673-89418585	KO1_WT	KO1_Pus1	NOTEST	0.0739235	0.250765	1.76223	0	1	1	no
ACAP1	ACAP1	ACAP1	chr17:7239847-7254793	KO1_WT	KO1_Pus1	NOTEST	0.0218567	0.0397439	0.862653	0	1	1	no
ACAP2	ACAP2	ACAP2	chr3:194995464-195163817	KO1_WT	KO1_Pus1	OK	9.0045	12.0988	0.426146	2.18951	0.00165	0.00856367	yes
ACAP3	ACAP3	ACAP3	chr1:1227763-1243269	KO1_WT	KO1_Pus1	OK	8.76025	5.76254	-0.604268	-2.81267	0.0001	0.000799879	yes
ACAT1	ACAT1	ACAT1	chr11:107992257-108018891	KO1_WT	KO1_Pus1	OK	74.8007	63.5052	-0.236177	-1.54455	0.02845	0.0840086	no
ACAT2	ACAT2	ACAT2	chr6:160181290-160210735	KO1_WT	KO1_Pus1	OK	97.6749	86.4236	-0.176563	-2.18742	0.0021	0.0104125	yes
ACBD3	ACBD3	ACBD3	chr1:226332379-226374423	KO1_WT	KO1_Pus1	OK	52.7119	35.1683	-0.583853	-3.51927	5e-05	0.000427361	yes
ACBD4	ACBD4	ACBD4	chr17:43209966-43221543	KO1_WT	KO1_Pus1	OK	3.47393	7.23189	1.0578	3.84671	5e-05	0.000427361	yes
ACBD5	ACBD5	ACBD5	chr10:27484142-27531068	KO1_WT	KO1_Pus1	OK	7.64414	8.3042	0.119488	0.572091	0.40945	0.589055	no
ACBD6	ACBD6	ACBD6	chr1:180257351-180472022	KO1_WT	KO1_Pus1	OK	62.163	62.7702	0.0140222	0.0727465	0.91905	0.955118	no
ACBD7	ACBD7	ACBD7	chr10:15117473-15130775	KO1_WT	KO1_Pus1	OK	5.1954	8.07892	0.636927	2.87495	0.0001	0.000799879	yes
ACCN1	ACCN1	ACCN1	chr17:31340105-32483825	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
ACCN2	ACCN2	ACCN2	chr12:50451486-50477394	KO1_WT	KO1_Pus1	OK	11.432	9.45689	-0.273636	-1.33621	0.05565	0.141144	no
ACCN3	ACCN3	ACCN3	chr7:150745604-150749843	KO1_WT	KO1_Pus1	OK	1.51868	1.48742	-0.030009	-0.0789619	0.9132	0.952334	no
ACCN4	ACCN4	ACCN4	chr2:220378891-220403494	KO1_WT	KO1_Pus1	NOTEST	0.0426808	0.081121	0.926486	0	1	1	no
ACCN5	ACCN5	ACCN5	chr4:156750880-156787425	KO1_WT	KO1_Pus1	NOTEST	0.0170056	0	-inf	0	1	1	no
ACCS	ACCS	ACCS	chr11:44087728-44105569	KO1_WT	KO1_Pus1	OK	1.36227	2.17907	0.677704	1.87101	0.0091	0.0338249	yes
ACCSL	ACCSL	ACCSL	chr11:44069530-44081527	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
ACD	ACD	ACD	chr16:67679029-67694718	KO1_WT	KO1_Pus1	OK	12.8795	12.9489	0.00775607	0.0300995	0.9651	0.981138	no
ACE	ACE	ACE	chr17:61554421-61575741	KO1_WT	KO1_Pus1	OK	0.416184	1.1097	1.41488	3.54212	5e-05	0.000427361	yes
ACE2	ACE2	ACE2	chrX:15579155-15620192	KO1_WT	KO1_Pus1	NOTEST	0.193139	0.406912	1.07508	0	1	1	no
ACER1	ACER1	ACER1	chr19:6306509-6333640	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
ACER2	ACER2	ACER2	chr9:19408924-19452500	KO1_WT	KO1_Pus1	OK	2.20933	1.37733	-0.68174	-2.13556	0.0027	0.0127877	yes
ACER3	ACER3	ACER3	chr11:76571916-76734850	KO1_WT	KO1_Pus1	OK	9.27504	9.58258	0.0470615	0.231202	0.73895	0.848569	no
ACHE	ACHE	ACHE	chr7:100487614-100493541	KO1_WT	KO1_Pus1	OK	0.935512	0.782726	-0.25725	-0.592184	0.4033	0.583392	no
ACIN1	ACIN1	ACIN1	chr14:23527773-23569665	KO1_WT	KO1_Pus1	OK	116.749	94.2227	-0.309257	-1.97927	0.0048	0.0203292	yes
ACLY	ACLY	ACLY	chr17:40023178-40075272	KO1_WT	KO1_Pus1	OK	187.124	170.645	-0.132995	-4.43445	5e-05	0.000427361	yes
ACMSD	ACMSD	ACMSD	chr2:135596185-135676176	KO1_WT	KO1_Pus1	NOTEST	0.0302157	0	-inf	0	1	1	no
ACN9	ACN9	ACN9	chr7:96745904-96811075	KO1_WT	KO1_Pus1	OK	15.087	11.0689	-0.446796	-2.06679	0.003	0.01389	yes
ACO1	ACO1	ACO1	chr9:32384600-32450832	KO1_WT	KO1_Pus1	OK	25.8983	17.9005	-0.532853	-2.73517	0.0001	0.000799879	yes
ACO2	ACO2	ACO2	chr22:41865128-41940479	KO1_WT	KO1_Pus1	OK	45.662	40.383	-0.177243	-0.90875	0.19605	0.358561	no
ACOT1	ACOT1	ACOT1	chr14:73945188-74025651	KO1_WT	KO1_Pus1	OK	3.62109	2.5962	-0.480021	-1.4555	0.0388	0.10717	no
ACOT11	ACOT11	ACOT11	chr1:55013806-55100417	KO1_WT	KO1_Pus1	OK	0.819205	0.552353	-0.568633	-1.25123	0.07095	0.16923	no
ACOT12	ACOT12	ACOT12	chr5:80256507-81047072	KO1_WT	KO1_Pus1	NOTEST	0.0351029	0	-inf	0	1	1	no
ACOT13	ACOT13	ACOT13	chr6:24667262-24719403	KO1_WT	KO1_Pus1	OK	13.1693	11.3225	-0.217979	-0.752675	0.2764	0.455576	no
ACOT2	ACOT2	ACOT2	chr14:74034323-74042362	KO1_WT	KO1_Pus1	OK	11.925	11.9147	-0.00125021	-0.00554183	0.99375	0.995634	no
ACOT4	ACOT4	ACOT4	chr14:74058409-74062470	KO1_WT	KO1_Pus1	NOTEST	0	0.021231	inf	0	1	1	no
ACOT6	ACOT6	ACOT6	chr14:74083547-74086592	KO1_WT	KO1_Pus1	NOTEST	0.0397684	0	-inf	0	1	1	no
ACOT7	ACOT7	ACOT7	chr1:6324331-6453826	KO1_WT	KO1_Pus1	OK	51.778	40.7863	-0.344255	-1.73195	0.01255	0.043515	yes
ACOT8	ACOT8	ACOT8	chr20:44462469-44486048	KO1_WT	KO1_Pus1	OK	14.1921	14.7632	0.0569201	0.183017	0.79395	0.883921	no
ACOT9	ACOT9	ACOT9	chrX:23721776-23761407	KO1_WT	KO1_Pus1	OK	20.4292	20.9964	0.0395091	0.189671	0.78505	0.878155	no
ACOX1	ACOX1	ACOX1	chr17:73937588-74002080	KO1_WT	KO1_Pus1	OK	7.96745	7.43488	-0.0998092	-0.446355	0.52125	0.687336	no
ACOX2	ACOX2	ACOX2	chr3:58490862-58522929	KO1_WT	KO1_Pus1	NOTEST	0	0.14611	inf	0	1	1	no
