GeneID	Length	Control-1	Control-2	Control-3	Treatment-1	Treatment-2	Treatment-3	logFC	Pvalue	FDR
Rsa10033627	495	7.63	7.17	8.40	0.00	0.00	0.00	-4.5509792924659	1.87157656800881e-16	1.02113791865859e-15
Rsa10037154	1562	3.09	3.55	3.97	7.85	8.36	8.02	1.07726481475525	1.67131649269967e-15	8.71512693851062e-15
Rsa10025736	924	1.44	2.84	2.22	0.72	0.77	0.75	-1.48915574857262	5.07467056306366e-05	0.0001279831382811
Rsa10022276	1783	7.67	7.72	8.10	20.17	18.39	18.46	1.31171436348359	3.56551925203045e-52	5.64908279184115e-51
novel.25450	864	1.02	1.18	1.46	0.18	0.08	0.18	-2.34195646565685	1.10457888140521e-05	2.98279791452447e-05
Rsa10027425	348	11.75	9.37	6.90	3.60	1.74	3.75	-1.54244352611406	0.000173715478273303	0.00041299634413063
Rsa10012696	1508	24.28	23.20	23.50	12.26	10.46	11.36	-1.1586151650128	1.32435726361104e-48	1.93833615506791e-47
Rsa10022594	2041	0.00	0.00	0.00	2.66	2.86	3.08	5.51255102869992	2.04301997278288e-26	1.66905301116202e-25
novel.2247	1009	0.00	0.00	0.00	5.04	4.52	5.26	5.17832470221112	1.27373809633765e-22	9.08241953023535e-22
novel.15059	665	0.00	0.00	0.00	1.55	1.87	3.51	3.46780842048337	5.37656301412504e-09	1.91103102783408e-08
Rsa10031366	1236	0.35	0.16	0.30	2.19	1.90	1.77	2.44316937642859	8.61036108950713e-10	3.23088341614579e-09
Rsa10032471	815	25.62	27.59	25.90	9.69	9.19	8.35	-1.63021939142456	9.83357647768745e-42	1.23296932623437e-40
Rsa10030329	1272	5.42	5.52	5.50	20.68	19.69	20.64	1.77324241241626	1.40998191142922e-57	2.49771011570291e-56
Rsa10038020	657	0.00	0.00	0.00	0.40	0.25	0.55	1.43132942582791	0.0199793461137695	0.035189488076098
Rsa10021671	2262	0.57	0.51	0.65	0.03	0.00	0.03	-3.45331219137309	1.92508412156476e-10	7.52114503445521e-10
novel.3089	1147	1.27	1.44	1.33	0.84	0.58	0.44	-1.10840834068197	0.00264111280680834	0.00539216082852982
Rsa10039551	1851	2.11	1.88	1.55	0.81	0.71	0.79	-1.31266221294377	2.17692565724101e-07	6.87313629285934e-07
Rsa10004188	417	0.00	0.00	0.00	1.21	1.46	2.20	2.04884332683013	0.00115896015008758	0.00249522729925516
novel.5953	459	15.13	20.04	16.12	9.04	7.49	8.04	-1.20034983015566	9.0918333599207e-10	3.40755206585103e-09
Rsa10042585	1777	16.83	16.65	17.21	6.22	6.20	6.00	-1.55488073031742	1.06841719857625e-66	2.22037675927061e-65
Rsa10013769	1668	0.00	0.04	0.00	2.73	2.80	2.85	5.02889826065733	2.79469103256809e-23	2.04438303058624e-22
Rsa10013254	1208	1.67	1.84	1.62	0.39	0.43	0.41	-1.94585601646173	1.33673639015291e-07	4.29170381740699e-07
Rsa10042119	483	10.42	8.59	9.68	24.47	24.24	20.84	1.14693582801796	1.08435928330995e-09	4.0463290201631e-09
novel.23386	704	0.00	0.00	0.00	0.95	1.94	1.36	2.99798781278559	9.20498558191661e-07	2.76163949123902e-06
Rsa10021551	1188	4.75	4.69	5.42	0.00	0.00	0.00	-5.64531337462005	6.06594522504648e-28	5.21052619923754e-27
Rsa10025457	1179	0.00	0.00	0.00	0.12	0.22	0.18	1.42394750778868	0.0205385160474039	0.036083555133237
novel.32684	427	35.70	33.85	32.26	79.15	80.25	72.92	1.07301648807254	1.17302648966987e-20	7.72463688884965e-20
Rsa10019781	2192	14.87	15.88	15.34	34.21	35.04	33.79	1.01132454454102	6.55516453907367e-79	1.61275524742552e-77
Rsa10009898	1004	5.30	5.07	6.03	1.07	0.83	1.12	-2.42652175966578	7.92202454143297e-20	5.03800881791246e-19
Rsa10029204	1138	0.00	0.06	0.13	2.40	1.61	2.47	3.72392065675	1.50219570009635e-13	7.0545152680607e-13
novel.30284	439	43.51	37.35	38.10	4.70	6.22	5.34	-2.93023968436531	1.13294690261796e-41	1.41867707189575e-40
novel.10918	647	6.00	6.22	5.69	1.89	1.04	2.54	-1.71524924774373	1.49668967541936e-08	5.14227652392918e-08
Rsa10027130	538	8.37	8.12	9.39	20.46	20.08	19.03	1.07676805539049	2.40757735671782e-09	8.76509701248914e-09
Rsa10030460	1185	0.85	0.77	0.90	3.06	2.90	2.80	1.59317186344365	3.19154357143804e-08	1.07433807398613e-07
Rsa10005822	336	301.71	291.14	266.51	147.94	161.03	158.84	-1.00103785738872	9.74533695864664e-41	1.19194161113638e-39
Rsa10034072	516	2.31	1.33	1.54	0.00	0.00	0.00	-2.78324893299183	6.97560844012588e-06	1.92469460552507e-05
Rsa10038917	609	45.39	45.15	43.62	7.61	8.77	6.38	-2.62657751891083	3.53410117745938e-75	8.28615114287714e-74
Rsa10022862	669	0.81	0.86	0.71	0.00	0.00	0.00	-2.38100598210596	0.000150836741335939	0.000361107408739978
novel.17876	1095	67.42	69.61	64.77	10.55	9.90	9.85	-2.83209353243017	4.62077655004402e-266	4.55028008729335e-264
novel.8961	1553	0.48	0.72	1.32	1.60	2.09	1.78	1.00439478618255	0.000465288942416144	0.0010540566173239
Rsa10000785	534	0.79	0.18	0.21	1.87	1.62	2.14	1.56962920355508	0.00450351614363381	0.00885146046551978
Rsa10043169	1434	0.58	0.39	0.25	0.00	0.00	0.00	-2.81167124292979	5.49788446227934e-06	1.53505091075128e-05
Rsa10014120	608	5.53	4.73	4.97	2.09	1.73	2.18	-1.35125597145126	1.9505300662438e-05	5.12977519647287e-05
Rsa10018890	348	2.35	2.56	4.93	11.70	8.24	13.14	1.45284013761502	0.000251461686375535	0.000587003772505011
Rsa10037008	619	0.00	0.00	0.00	1.89	1.40	2.27	3.0858165849222	3.78315705056871e-07	1.17189987519835e-06
Rsa10002270	927	137.31	142.56	136.87	8.20	8.60	9.30	-4.08404637118414	0	0
Rsa10005670	3915	0.75	0.61	0.62	4.23	3.59	3.96	2.43564176916639	5.5704743949653e-55	9.3666405051945e-54
Rsa10002598	1302	0.00	0.00	0.00	0.36	0.25	0.75	2.59410197179758	3.14933350814455e-05	8.11038378463699e-05
novel.8758	410	0.00	0.00	0.00	3.12	3.60	1.62	2.64302811609812	2.12398600816694e-05	5.56499404036372e-05
Rsa10040941	2232	0.00	0.00	0.00	0.49	0.42	0.51	3.47601072081776	4.51638410990173e-09	1.61365458871314e-08
Rsa10032545	2480	15.13	15.85	15.34	6.00	6.04	5.57	-1.48986833800864	1.11978048717386e-81	2.8442572493328e-80
Rsa10027099	318	4.67	4.23	2.45	1.12	0.54	0.59	-1.59910741367565	0.00695788371929195	0.013293081496339
Rsa10039730	586	45.27	40.05	40.63	19.23	18.44	18.60	-1.45622648437423	9.89960344092632e-39	1.15455290054289e-37
Rsa10013639	1490	17.07	16.59	15.68	2.24	2.06	2.27	-3.11234597308493	3.29751587760875e-112	1.16505149291227e-110
novel.1300	1150	2.27	1.39	1.98	4.09	2.91	2.92	1.4578481548577	3.07204628928096e-07	9.59436754816908e-07
Rsa10011472	642	2.46	2.36	3.03	1.10	1.06	1.14	-1.2026920474526	0.0025458400221136	0.00521455925596121
Rsa10035786	1255	0.85	1.08	0.95	5.80	5.38	6.55	2.41405754618874	2.68988816966934e-24	2.04889240690501e-23
Rsa10039804	1248	1.66	1.61	1.50	3.78	3.54	3.66	1.06336468491448	2.40076557200553e-06	6.94496849901117e-06
Rsa10002025	2509	5.17	5.22	5.55	2.07	2.32	2.26	-1.27884873965162	2.78252282383645e-23	2.03625741328961e-22
Rsa10008417	342	10.28	10.65	7.18	4.22	3.62	5.38	-1.09571247679923	0.00438406026060561	0.00863922388570776
novel.33359	1151	75.31	77.51	74.16	34.29	33.99	33.52	-1.25960344851469	4.92471347088845e-126	1.99929831764769e-124
Rsa10012305	771	4.71	4.07	4.59	10.89	10.58	11.21	1.16092189672116	3.89632775787037e-10	1.49363139543058e-09
novel.1817	796	0.00	0.00	0.00	3.06	4.00	4.63	4.47631179755215	6.81776579201036e-16	3.61902274004365e-15
Rsa10006099	1065	1.96	2.09	2.13	0.79	1.02	1.10	-1.10839106346905	0.00044876820823023	0.00101789174563442
Rsa10015019	853	0.66	0.51	0.99	1.79	2.84	1.49	1.2521015633195	0.00168242452774455	0.00353949679474278
Rsa10014262	1071	0.28	0.31	0.44	15.50	15.13	16.37	5.0008326418914	1.16372002680437e-55	1.98369585572223e-54
